1,Hydrogène,1,H,1,1,s,1.00794,25 pm,120 pm,1s1,-1. 1,2.2,-259.1,-252.9,0
2,Hélium,2,He,18,1,s,4.002602,128 pm (31 pm),140 pm,1s2,0,,,-268.93,0
3,Lithium,2-1,Li,1,2,s,6.941,145 pm (167 pm),182 pm,He 2s1,1,0.98,180.5,1342,0
4,Béryllium,2-2,Be,2,2,s,9.012182,112 pm,,He 2s2,2,1.57,1287,2471,0
5,Bore,2-3,B,13,2,p,10.811,85 pm (87 pm),208 pm,He 2s2 2p1,3,2.04,2075,4000,0
6,Carbone,2-4,C,14,2,p,12.0107,70 pm (67 pm),150 pm,He 2s2 2p2,-4. 0. 4. 2,2.55,,3825,0
7,Azote,2-5,N,15,2,p,14.0067,65 pm (56 pm),150 pm,1s2 2s2 2p3,-3. 0. 2. 3. 4. 5,3.04,-210.00,-195.798,0
8,Oxygène,2-6,O,16,2,p,15.9994,60 pm (48 pm),140 pm,1s2 2s2 2p4,-2. -1,3.44,-218.79,-182.95,0
9,Fluor,2-7,F,17,2,p,18.9984032,50 pm (42 pm),135 pm,He 2s2 2p5,-1,3.98,-219.67,-188.12,0
10,Néon,2-8,Ne,18,2,p,20.1797,(38 pm),154 pm,He 2s2 2p6,0,,,-246.053,0
11,Sodium,2-8-1,Na,1,3,s,22.98976928,180 pm (190 pm),227 pm,Ne 3s1,1,0.93,97.8,883,0
12,Magnésium,2-8-2,Mg,2,3,s,24.3050,150 pm,173,Ne 3s2,2,1.31,650,1090,0
13,Aluminium,2-8-3,Al,12,3,p,26.9815386,125 pm (118 pm),205 pm,Ne 3s2 3p1,3,1.61,660.323,2519,0
14,Silicium,2-8-4,Si,14,3,p,28.0855,110 pm (111 pm),210,Ne 3s2 3p2,1. 2. 3. 4,1.9,1414,3265,0
15,Phosphore,2-8-5,P,15,3,p,30.973762,100 pm (98 pm),180,Ne 3s2 3p3,-3. +3. 5. 4,2.19,44.15,280.5,0
16,Soufre,2-8-6,S,16,3,p,32.065,100 pm (88 pm),180,Ne 3s2 3p4,-2. 2. 4. 6,2.58,115.21,444.61,0
17,Chlore,2-8-6,Cl,17,3,p,35.453,100 pm (79 pm),180 pm,Ne 3s2 3p5,0. -1. 1. 3. 5. 7,3.16,-101.5,-34.04,0
18,Argon,2-8-8,Ar,18,3,p,39.948,(71 pm),188 pm,Ne 3s2 3p6,0,,-189.36,-185.85,0
19,Potassium,2-8-8-1,K,1,4,s,39.0983,220 pm (243 pm),275,Ar 4s1,1,0.82,63.5,759,0
